treatment,replicate,step,creature_x,creature_y,score
greedy,0,0,10,10,1000
greedy,0,1,10,10,995
greedy,0,2,9,10,1035
greedy,0,3,8,10,1025
greedy,0,4,7,10,1115
greedy,0,5,6,10,1205
greedy,0,6,5,10,1295
greedy,0,7,4,10,1285
greedy,0,8,3,10,1325
greedy,0,9,3,10,1320
greedy,0,10,3,9,1310
greedy,0,11,3,8,1400
greedy,0,12,3,8,1395
greedy,0,13,4,8,1485
greedy,0,14,4,8,1480
greedy,0,15,4,7,1520
greedy,0,16,4,6,1510
greedy,0,17,4,6,1505
greedy,0,18,5,6,1495
greedy,0,19,6,6,1485
greedy,0,20,6,6,1480
greedy,0,21,6,5,1570
greedy,0,22,6,4,1560
greedy,0,23,6,4,1555
greedy,0,24,7,4,1645
greedy,0,25,7,4,1640
greedy,0,26,7,3,1680
greedy,0,27,7,3,1675
greedy,0,28,8,3,1715
greedy,0,29,9,3,1705
greedy,0,30,10,3,1695
greedy,1,0,10,10,1000
greedy,1,1,10,10,995
greedy,1,2,10,10,990
greedy,1,3,10,11,1030
greedy,1,4,10,11,1025
greedy,1,5,11,11,1115
greedy,1,6,11,11,1110
greedy,1,7,11,12,1100
greedy,1,8,11,12,1095
greedy,1,9,12,12,1135
greedy,1,10,12,12,1130
greedy,1,11,12,12,1125
greedy,1,12,11,12,1115
greedy,1,13,10,12,1105
greedy,1,14,9,12,1145
greedy,1,15,8,12,1135
greedy,1,16,8,12,1130
greedy,1,17,8,11,1170
greedy,1,18,8,11,1165
greedy,1,19,9,11,1155
greedy,1,20,10,11,1145
greedy,1,21,11,11,1135
greedy,1,22,11,11,1130
greedy,1,23,11,12,1120
greedy,1,24,11,13,1110
greedy,1,25,11,13,1105
greedy,1,26,10,13,1095
greedy,1,27,10,13,1090
greedy,1,28,10,12,1080
greedy,1,29,10,11,1070
greedy,1,30,10,10,1060
greedy,2,0,10,10,1000
greedy,2,1,10,10,1045
greedy,2,2,10,10,1040
greedy,2,3,10,11,1130
greedy,2,4,10,12,1170
greedy,2,5,10,12,1165
greedy,2,6,11,12,1205
greedy,2,7,12,12,1195
greedy,2,8,13,12,1185
greedy,2,9,13,12,1180
greedy,2,10,13,11,1220
greedy,2,11,13,10,1260
greedy,2,12,13,9,1300
greedy,2,13,13,9,1295
greedy,2,14,14,9,1335
greedy,2,15,15,9,1425
greedy,2,16,15,9,1420
greedy,2,17,15,8,1460
greedy,2,18,15,8,1455
greedy,2,19,16,8,1445
greedy,2,20,16,8,1440
greedy,2,21,16,7,1430
greedy,2,22,16,7,1425
greedy,2,23,17,7,1465
greedy,2,24,17,7,1460
greedy,2,25,17,6,1450
greedy,2,26,17,5,1490
greedy,2,27,17,4,1480
greedy,2,28,17,3,1520
greedy,2,29,17,2,1510
greedy,2,30,17,1,1600
greedy,3,0,10,10,1000
greedy,3,1,10,10,965
greedy,3,2,11,10,955
greedy,3,3,11,10,950
greedy,3,4,11,11,990
greedy,3,5,11,12,1030
greedy,3,6,11,13,1070
greedy,3,7,11,13,1065
greedy,3,8,11,13,1060
greedy,3,9,11,12,1050
greedy,3,10,11,12,1045
greedy,3,11,12,12,1085
greedy,3,12,13,12,1175
greedy,3,13,13,12,1170
greedy,3,14,13,11,1160
greedy,3,15,13,10,1150
greedy,3,16,13,10,1145
greedy,3,17,14,10,1135
greedy,3,18,15,10,1125
greedy,3,19,15,10,1120
greedy,3,20,15,11,1160
greedy,3,21,15,11,1155
greedy,3,22,14,11,1145
greedy,3,23,13,11,1135
greedy,3,24,12,11,1125
greedy,3,25,11,11,1115
greedy,3,26,10,11,1105
greedy,3,27,9,11,1095
greedy,3,28,9,11,1090
greedy,3,29,9,12,1180
greedy,3,30,9,12,1175
greedy,4,0,10,10,1000
greedy,4,1,10,10,965
greedy,4,2,11,10,1005
greedy,4,3,12,10,1045
greedy,4,4,12,10,1040
greedy,4,5,12,9,1130
greedy,4,6,12,8,1220
greedy,4,7,12,7,1260
greedy,4,8,12,6,1350
greedy,4,9,12,6,1345
greedy,4,10,13,6,1335
greedy,4,11,13,6,1330
greedy,4,12,13,7,1420
greedy,4,13,13,7,1415
greedy,4,14,14,7,1455
greedy,4,15,15,7,1445
greedy,4,16,15,7,1440
greedy,4,17,15,8,1480
greedy,4,18,15,8,1475
greedy,4,19,14,8,1465
greedy,4,20,14,8,1460
greedy,4,21,14,9,1500
greedy,4,22,14,10,1590
greedy,4,23,14,11,1580
greedy,4,24,14,12,1620
greedy,4,25,14,12,1615
greedy,4,26,13,12,1655
greedy,4,27,13,12,1650
greedy,4,28,13,11,1690
greedy,4,29,13,11,1685
greedy,4,30,14,11,1675
greedy,5,0,10,10,1000
greedy,5,1,10,10,965
greedy,5,2,10,10,960
greedy,5,3,10,11,1000
greedy,5,4,10,11,995
greedy,5,5,9,11,1035
greedy,5,6,8,11,1125
greedy,5,7,8,11,1120
greedy,5,8,8,10,1110
greedy,5,9,8,9,1200
greedy,5,10,8,8,1240
greedy,5,11,8,8,1235
greedy,5,12,9,8,1275
greedy,5,13,9,8,1270
greedy,5,14,9,7,1260
greedy,5,15,9,7,1255
greedy,5,16,10,7,1295
greedy,5,17,11,7,1285
greedy,5,18,12,7,1325
greedy,5,19,13,7,1415
greedy,5,20,14,7,1405
greedy,5,21,15,7,1395
greedy,5,22,16,7,1435
greedy,5,23,16,7,1430
